playerName,playerId,year,team,salary,signingBonus,rosterBonus,workoutBonus,restructureBonus,optionBonus,incentive,totalCash
Johnathan Ford,default-person,2018,arizona2,"$555,000",-,-,-,-,-,-,"$555,000"
Johnathan Ford,default-person,2017,arizona2,"$465,000","$140,181",-,-,-,-,-,"$605,181"
Johnathan Ford,default-person,2019,arizona2,"$645,000",-,-,-,-,-,-,"$645,000"
Johnathan Ford,default-person,2020,arizona2,"$735,000",-,-,-,-,-,-,"$735,000"
Randall Goforth,22347,2017,eagles1,"$465,000",-,-,-,-,-,-,"$465,000"
Randall Goforth,22347,2018,eagles1,"$555,000",-,-,-,-,-,-,"$555,000"
Randall Goforth,22347,2019,eagles1,"$645,000",-,-,-,-,-,-,"$645,000"
Cornelius Lucas,14722,2014,lions,"$420,000","$20,000",-,-,-,-,"$156,153","$596,153"
Cornelius Lucas,14722,2015,lions,"$510,000",-,-,-,-,-,-,"$510,000"
Cornelius Lucas,14722,2017,rams2,"$649,412",-,-,-,-,-,-,"$649,411"
Cornelius Lucas,14722,2016,lions,"$600,000",-,-,-,-,-,-,"$600,000"
Clayton Geathers,16835,2015,colts,"$435,000","$533,930",-,-,-,-,-,"$968,930"
Clayton Geathers,16835,2016,colts,"$525,000",-,-,-,-,-,-,"$525,000"
Clayton Geathers,16835,2017,colts,"$615,000",-,-,-,-,-,-,"$615,000"
Clayton Geathers,16835,2018,colts,"$705,000",-,-,-,-,-,-,"$705,000"
Kyle Sloter,22017,2017,broncos,-,"$3,000",-,-,-,-,-,"$3,000"
Kyle Sloter,22017,2017,vikings,"$20,000",-,-,-,-,-,-,"$20,000"
Kyle Sloter,22017,2017,vikings,"$437,647",-,-,-,-,-,-,"$437,647"
Will Compton,13012,2013,washington,"$23,823",-,-,-,-,-,-,"$23,823"
Will Compton,13012,2013,washington,"$96,000",-,-,-,-,-,-,"$96,000"
Will Compton,13012,2013,washington,-,"$5,000",-,-,-,-,-,"$5,000"
Will Compton,13012,2014,washington,"$420,000",-,-,-,-,-,"$197,014","$617,014"
Will Compton,13012,2015,washington,"$510,000",-,-,-,-,-,"$222,465","$732,465"
Will Compton,13012,2016,washington,"$600,000",-,-,-,-,-,"$251,511","$851,511"
Will Compton,13012,2017,washington,"$1,797,000",-,-,-,-,-,-,"$1,797,000"
R.J. Shelton,22287,2017,vikings,"$348,000","$5,000",-,-,-,-,-,"$353,000"
R.J. Shelton,22287,2018,vikings,"$555,000",-,-,-,-,-,-,"$555,000"
R.J. Shelton,22287,2019,vikings,"$645,000",-,-,-,-,-,-,"$645,000"
Trent Murphy,14456,2014,washington,"$420,000","$1,480,417",-,-,-,-,"$132,556","$2,032,973"
Trent Murphy,14456,2015,washington,"$623,309",-,-,-,-,-,"$110,510","$733,819"
Trent Murphy,14456,2016,washington,"$826,618",-,-,-,-,-,"$99,527","$926,145"
Trent Murphy,14456,2017,washington,"$1,029,927",-,-,-,-,-,-,"$1,029,927"
Su'a Cravens,19002,2016,washington,"$450,000","$1,422,522",-,-,-,-,-,"$1,872,522"
Su'a Cravens,19002,2017,washington,"$651,408",-,-,-,-,-,-,"$651,408"
Su'a Cravens,19002,2018,washington,"$852,815",-,-,-,-,-,-,"$852,815"
Su'a Cravens,19002,2019,washington,"$1,054,223",-,-,-,-,-,-,"$1,054,223"
Eric Kush,12452,2013,kansascity,"$405,000","$125,116",-,-,-,-,-,"$530,116"
Eric Kush,12452,2014,kansascity,"$495,000",-,-,"$8,000",-,-,-,"$503,000"
Eric Kush,12452,2015,kansascity,-,-,-,"$8,500",-,-,-,"$8,500"
Eric Kush,12452,2015,bucs,"$34,411",-,-,-,-,-,-,"$34,411"
Eric Kush,12452,2015,panthers,"$39,600",-,-,-,-,-,-,"$39,600"
Eric Kush,12452,2015,rams2,"$240,882",-,-,-,-,-,"$14,310","$255,192"
Eric Kush,12452,2016,bears,"$675,000",-,-,-,-,-,-,"$675,000"
