,Name,Year,Salary
1116,Connor Barth,2009,"$385,000"
1096,Marcedes Lewis,2009,"$560,000"
708,Phil Dawson,2009,"$1,150,000"
1372,Adam-Pacman Jones,2009,"$545,000"
1734,Aqib Talib,2009,"$1,181,250"
2008,Sam Koch,2009,"$1,545,000"
2619,Antoine Bethea,2009,"$535,000"
2859,Corey Graham,2009,"$460,000"
2749,Tyvon Branch,2009,"$385,000"
2803,Matt Schaub,2009,"$16,950,000"
320,Matt Moore,2009,"$460,000"
741,Julius Peppers,2009,"$16,683,000"
1131,Terrell Suggs,2009,"$15,100,000"
2181,Danny Woodhead,2009,"$88,400"
2353,Larry Fitzgerald,2009,"$9,750,000"
2883,Jason Witten,2009,"$2,500,000"
2180,Danny Woodhead,2009,"$271,764"
1556,Steve McLendon,2009,"$1,000"
991,Jason McCourty,2009,"$399,818"
682,Quintin Demps,2009,"$385,000"
1555,Steve McLendon,2009,"$176,800"
1023,Darren Sproles,2009,"$6,621,000"
1243,Justin Durant,2009,"$460,000"
2606,Brian Hoyer,2009,"$322,500"
856,Matt Forte,2009,"$385,000"
2579,Mike Adams,2009,"$2,670,000"
1526,Jamaal Charles,2009,"$385,000"
1554,Steve McLendon,2009,"$310,000"
1575,Orlando Scandrick,2009,"$385,000"
2143,Dustin Colquitt,2009,"$900,000"
2056,Matthew Stafford,2009,"$3,100,000"
224,Cedric Peerman,2009,"$1,090,000"
1428,Adam Vinatieri,2009,"$2,250,000"
621,Michael Crabtree,2009,"$2,393,077"
2769,Darius Butler,2009,"$440,000"
2255,Ben Roethlisberger,2009,"$7,750,000"
496,Julian Edelman,2009,"$358,700"
2084,Donald Penn,2009,"$2,792,000"
817,Breno Giacomini,2009,"$385,000"
1622,William Hayes,2009,"$385,000"
838,Elvis Dumervil,2009,"$535,000"
1478,Wesley Woodyard,2009,"$385,000"
1190,Nate Allen,2010,"$2,720,000"
82,Harry Douglas,2010,"$470,000"
947,Carlos Dunlap,2010,"$1,548,000"
2354,Larry Fitzgerald,2010,"$6,150,000"
1429,Adam Vinatieri,2010,"$2,250,000"
1867,Bryan Bulaga,2010,"$2,064,000"
622,Michael Crabtree,2010,"$12,795,000"
2770,Darius Butler,2010,"$1,672,500"
1805,Drew Brees,2010,"$6,689,000"
2841,George Johnson,2010,"$320,000"
1479,Wesley Woodyard,2010,"$475,000"
1847,Morgan Cox,2010,"$235,000"
1024,Darren Sproles,2010,"$7,281,300"
1623,William Hayes,2010,"$470,000"
934,Linval Joseph,2010,"$2,690,500"
1527,Jamaal Charles,2010,"$8,470,000"
2918,Chris Maragos,2010,"$88,400"
497,Julian Edelman,2010,"$395,000"
920,Maurkice Pouncey,2010,"$1,444,500"
2804,Matt Schaub,2010,"$4,550,000"
2919,Chris Maragos,2010,"$5,000"
709,Phil Dawson,2010,"$1,150,000"
2256,Ben Roethlisberger,2010,"$6,155,882"
2920,Chris Maragos,2010,"$112,941"
1576,Orlando Scandrick,2010,"$470,000"
2523,Mike Windt,2010,"$2,500"
2580,Mike Adams,2010,"$1,420,000"
2522,Mike Windt,2010,"$320,000"
1373,Adam-Pacman Jones,2010,"$295,000"
1132,Terrell Suggs,2010,"$24,900,000"
1558,Steve McLendon,2010,"$225,882"
1557,Steve McLendon,2010,"$176,800"
2550,Tyson Alualu,2010,"$3,410,000"
683,Quintin Demps,2010,"$470,000"
2750,Tyvon Branch,2010,"$470,000"
1752,Frank Zombo,2010,"$323,500"
1117,Connor Barth,2010,"$470,000"
1359,Brett Kern,2010,"$475,000"
1702,Ben Garland,2010,"$322,000"
1735,Aqib Talib,2010,"$1,334,117"
2309,Paul Posluszny,2010,"$715,000"
2607,Brian Hoyer,2010,"$395,000"
2597,Derrick Morgan,2010,"$2,280,010"
1244,Justin Durant,2010,"$550,000"
321,Matt Moore,2010,"$3,043,000"
1975,Ed Dickson,2010,"$982,500"
