,Year,Name,Age,Team,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Pos
4298,2017,Anders Nilsson,26,BUF,26,23.0,10.0,10.0,4.0,66,857.0,791.0,0.923,2.67,1,6.0,1484,11.0,0.478,2.0,89.0,8.17,0,0.0,0.0,0.0,G
4299,2017,Ondrej Pavelec,29,WPG,8,8.0,4.0,4.0,0.0,26,233.0,207.0,0.888,3.55,0,0.7,440,2.0,0.25,2.0,,,0,0.0,0.0,0.0,G
4300,2017,Justin Peters,30,ARI,3,1.0,0.0,1.0,0.0,7,70.0,63.0,0.9,3.16,0,0.3,133,0.0,0.0,0.0,,,0,0.0,0.0,0.0,G
4301,2017,Calvin Pickard,24,COL,50,48.0,15.0,31.0,2.0,140,1461.0,1321.0,0.904,2.98,2,7.1,2820,21.0,0.438,11.0,111.0,-13.56,0,2.0,2.0,2.0,G
4302,2017,Carey Price,29,MTL,62,62.0,37.0,20.0,5.0,138,1794.0,1656.0,0.923,2.23,3,12.6,3708,38.0,0.613,8.0,89.0,17.25,0,1.0,1.0,4.0,G
4303,2017,Jonathan Quick,31,LAK,17,17.0,8.0,5.0,2.0,35,421.0,386.0,0.917,2.26,2,2.7,931,11.0,0.647,2.0,96.0,1.43,0,0.0,0.0,2.0,G
4304,2017,Antti Raanta,27,NYR,30,26.0,16.0,8.0,2.0,61,782.0,721.0,0.922,2.26,4,5.4,1617,18.0,0.692,1.0,90.0,6.67,0,1.0,1.0,0.0,G
4305,2017,Tuukka Rask,29,BOS,65,63.0,37.0,20.0,5.0,137,1610.0,1473.0,0.915,2.23,8,9.8,3680,31.0,0.492,14.0,98.0,2.33,0,2.0,2.0,0.0,G
4306,2017,James Reimer,28,FLA,43,39.0,18.0,16.0,5.0,98,1222.0,1124.0,0.92,2.53,3,8.1,2325,19.0,0.487,4.0,93.0,7.75,0,0.0,0.0,2.0,G
4307,2017,Pekka Rinne,34,NSH,61,61.0,31.0,19.0,9.0,144,1757.0,1613.0,0.918,2.42,3,11.3,3568,34.0,0.557,7.0,95.0,8.05,0,0.0,0.0,4.0,G
