SEASON,PLAYER_ID,PLAYER_NAME,AGE,TM,LG,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1976,stanied01,Ed Staniowski,20,STL,NHL,11,,5,3,2,33,337,304,0.902,3.2,0,1.8,619,,,,89,4.11,0,0,0,0
1976,stephwa01,Wayne Stephenson,31,PHI,NHL,66,,40,10,14,164,1774,1610,0.908,2.58,1,14.7,3811,,,,84,31.33,0,0,0,11
1976,taylobo02,Bobby Taylor,31,PHI,NHL,4,,3,1,0,15,125,110,0.88,3.75,0,0.5,240,,,,,,0,,,
1976,taylobo02,Bobby Taylor,31,PIT,NHL,2,,0,1,0,7,48,41,0.854,5.41,0,0,78,,,,,,0,,,
1976,thomawa01,Wayne Thomas,28,TOR,NHL,64,,28,24,12,196,1969,1773,0.9,3.2,2,11,3679,,,,90,20.8,0,0,0,18
1976,vachoro01,Rogie Vachon,30,LAK,NHL,51,,26,20,5,160,1474,1314,0.891,3.15,5,9.3,3052,,,,99,2.3,0,0,0,0
1976,villegi01,Gilles Villemure,35,CBH,NHL,15,,2,7,5,57,405,348,0.859,4.3,0,1.2,796,,,,128,-12.41,0,0,0,0
1976,wilsodu01,Dunc Wilson,27,NYR,NHL,20,,5,9,3,76,551,475,0.862,4.24,0,1.7,1076,,,,125,-15.33,0,0,0,11
1976,wolfebe01,Bernie Wolfe,24,WSH,NHL,40,,5,23,7,148,1300,1152,0.886,4.17,0,3.5,2130,,,,103,-4.86,0,0,0,0
1977,belanyv01,Yves Belanger,24,STL,NHL,3,,2,0,0,7,56,49,0.875,3,0,0.4,140,,,,,,0,1,1,0
1977,bouchda01,Dan Bouchard,26,ATF,NHL,42,,17,17,5,139,1131,992,0.877,3.51,1,5.7,2373,,,,112,-15.31,0,1,1,9
1977,bullobr01,Bruce Bullock,27,VAN,NHL,1,,0,0,0,3,13,10,0.769,6.77,0,-0.1,27,,,,,,0,0,0,0
1977,cheevge01,Gerry Cheevers,36,BOS,NHL,45,,30,10,5,137,1152,1015,0.881,3.05,3,8.3,2698,,,,109,-11.01,0,4,4,46
1977,croziro01,Roger Crozier,34,WSH,NHL,3,,1,0,0,2,61,59,0.967,1.16,0,0.6,103,,,,,,0,0,0,0
1977,davidjo01,John Davidson,23,NYR,NHL,39,,14,14,6,125,1194,1069,0.895,3.55,1,5,2115,,,,96,5.58,0,0,0,6
1977,desjage01,Gerry Desjardins,32,BUF,NHL,49,,31,12,6,126,1258,1132,0.9,2.64,3,10.5,2867,,,,92,11.58,0,0,0,2
1977,drydeke01,Ken Dryden,29,MTL,NHL,56,,41,6,8,117,1457,1340,0.92,2.14,10,14.3,3275,,,,73,42.35,0,2,2,0
1977,dumasmi01,Michel Dumas,27,CBH,NHL,5,,0,1,2,17,140,123,0.879,4.23,0,0.3,241,,,,,,0,1,1,0
1977,edwardo01,Don Edwards,21,BUF,NHL,25,,16,7,2,62,616,554,0.899,2.52,2,5.7,1476,,,,92,5.37,0,1,1,2
1977,edwarga01,Gary Edwards,29,CLE,NHL,17,,4,10,3,68,549,481,0.876,4.09,2,1.6,999,,,,113,-7.96,0,,,
1977,edwarga01,Gary Edwards,29,LAK,NHL,10,,0,6,2,39,264,225,0.852,4.7,0,0.4,498,,,,,,0,,,
1977,esposto01,Tony Esposito,33,CBH,NHL,69,,25,36,8,234,2353,2119,0.901,3.46,2,10.1,4056,,,,91,23.34,0,2,2,6
1977,faveldo01,Doug Favell,31,CLR,NHL,30,,8,15,4,105,999,894,0.895,3.91,0,3,1610,,,,96,4.26,0,0,0,15
1977,giacoed01,Ed Giacomin,37,DET,NHL,33,,8,18,3,107,833,726,0.872,3.59,3,4.1,1790,,,,117,-15.9,0,1,1,4
1977,gilbegi01,Gilles Gilbert,27,BOS,NHL,34,,18,13,3,97,841,744,0.885,2.86,1,6.8,2038,,,,105,-5.02,0,1,1,15
1977,grantdo01,Doug Grant,28,STL,NHL,17,,7,7,3,50,408,358,0.877,3.13,1,2.8,959,,,,112,-5.38,0,0,0,0
1977,grattgi01,Gilles Gratton,24,NYR,NHL,41,,11,18,7,143,1012,869,0.859,4.23,0,2.8,2030,,,,129,-32.32,0,0,0,13
1977,harripa01,Paul Harrison,21,MNS,NHL,2,,0,2,0,11,49,38,0.776,5.5,0,-0.1,120,,,,,,0,0,0,0
1977,herrode01,Denis Herron,24,PIT,NHL,34,,15,11,5,94,1058,964,0.911,2.94,1,6.2,1918,,,,81,21.71,0,1,1,4
1977,innesga01,Gary Inness,27,PHI,NHL,6,,1,0,2,9,89,80,0.899,2.57,0,0.8,210,,,,,,0,1,1,0
1977,johnsed01,Eddie Johnston,41,STL,NHL,38,,13,16,5,108,921,813,0.883,3.07,1,6.4,2108,,,,107,-7.27,0,0,0,0
1977,larocmi01,Michel Larocque,24,MTL,NHL,26,,19,2,4,53,592,539,0.91,2.09,4,6.8,1524,,,,82,11.74,0,0,0,0
1977,laxtogo01,Gord Laxton,21,PIT,NHL,6,,1,3,1,26,158,132,0.835,6.17,0,-0.4,253,,,,,,0,0,0,0
1977,loprepe01,Pete LoPresti,22,MNS,NHL,44,,13,20,10,156,1325,1169,0.882,3.62,1,5.9,2588,,,,108,-11.09,0,1,1,4
1977,lowro01,Ron Low,26,WSH,NHL,54,,16,27,5,188,1578,1390,0.881,3.88,0,5.5,2910,,,,109,-15.42,0,0,0,4
1977,maniace01,Cesare Maniago,38,VAN,NHL,47,,17,21,9,151,1426,1275,0.894,3.36,1,7.1,2694,,,,97,4.96,0,1,1,0
1977,mckenbi01,Bill McKenzie,27,CLR,NHL,5,,0,2,1,8,101,93,0.921,2.41,0,0.8,199,,,,,,0,0,0,0
1977,mcraego01,Gord McRae,28,TOR,NHL,2,,0,1,1,9,76,67,0.882,4.53,0,0.1,119,,,,,,0,0,0,0
1977,melocgi01,Gilles Meloche,26,CLE,NHL,51,,19,24,6,171,1548,1377,0.89,3.47,2,7.3,2958,,,,101,-1.7,0,3,3,18
1977,myreph01,Phil Myre,28,ATF,NHL,43,,17,17,7,124,1087,963,0.886,3.07,3,7.4,2420,,,,104,-5.12,0,2,2,6
1977,palmami01,Mike Palmateer,23,TOR,NHL,50,,23,18,8,154,1609,1455,0.904,3.22,4,8.2,2873,,,,88,21.97,0,2,2,8
1977,parenbe01,Bernie Parent,31,PHI,NHL,61,,35,13,12,159,1582,1423,0.899,2.71,5,12.6,3520,,,,92,14.02,0,0,0,0
1977,pettiji01,Jim Pettie,23,BOS,NHL,1,,1,0,0,3,30,27,0.9,3,0,0.2,60,,,,,,0,0,0,0
1977,plassmi01,Michel Plasse,28,CLR,NHL,54,,12,29,9,190,1714,1524,0.889,3.82,0,5.9,2982,,,,101,-2.55,0,1,1,0
1977,reschgl01,Glenn Resch,28,NYI,NHL,46,,26,13,6,103,1241,1138,0.917,2.28,4,11.3,2708,,,,76,32.72,0,1,1,2
1977,richate01,Terry Richardson,23,DET,NHL,5,,1,3,0,18,137,119,0.869,4.02,0,0.5,269,,,,,,0,0,0,2
1977,ridlecu01,Curt Ridley,25,VAN,NHL,37,,8,21,4,134,1037,903,0.871,3.88,0,3.9,2070,,,,118,-20.59,0,0,0,4
1977,rutheji01,Jim Rutherford,27,DET,NHL,48,,7,34,6,180,1351,1171,0.867,3.95,0,4.9,2736,,,,122,-32.25,0,1,1,2
1977,sauvebo01,Bob Sauve,21,BUF,NHL,4,,1,2,0,11,71,60,0.845,3.62,0,0.4,182,,,,,,0,0,0,0
1977,simmoga01,Gary Simmons,32,CLE,NHL,15,,2,8,4,51,444,393,0.885,3.65,1,1.9,839,,,,105,-2.44,0,,,
1977,simmoga01,Gary Simmons,32,LAK,NHL,4,,1,2,1,16,118,102,0.864,4,0,0.4,240,,,,,,0,,,
1977,smithal03,Al Smith,31,BUF,NHL,7,,0,3,0,19,116,97,0.836,4.33,0,0.3,264,,,,,,0,0,0,0
1977,smithbi01,Billy Smith,26,NYI,NHL,36,,21,8,6,87,1032,945,0.916,2.5,2,8.1,2086,,,,77,25.87,0,1,1,12
1977,smithga01,Gary Smith,32,MNS,NHL,36,,10,17,8,139,1171,1032,0.881,4,1,3.6,2086,,,,109,-10.93,0,0,0,12
1977,soetado01,Doug Soetaert,21,NYR,NHL,12,,3,4,1,28,291,263,0.904,2.95,1,1.8,569,,,,,,0,0,0,0
1977,stanied01,Ed Staniowski,21,STL,NHL,29,,10,16,1,108,804,696,0.866,4.09,0,2.5,1583,,,,123,-20.07,0,0,0,0
1977,stephwa01,Wayne Stephenson,32,PHI,NHL,21,,12,3,2,41,472,431,0.913,2.31,3,4.4,1064,,,,79,10.62,0,0,0,4
1977,tatarda01,Dave Tataryn,26,NYR,NHL,2,,1,1,0,10,43,33,0.767,7.5,0,-0.3,80,,,,,,0,0,0,0
1977,thomawa01,Wayne Thomas,29,TOR,NHL,33,,10,13,6,116,1055,939,0.89,3.87,1,3.4,1799,,,,101,-0.62,0,1,1,4
1977,vachoro01,Rogie Vachon,31,LAK,NHL,68,,33,23,12,184,1896,1712,0.903,2.73,8,14.3,4048,,,,89,23.36,0,1,1,2
1977,veisomi01,Mike Veisor,24,CBH,NHL,3,,1,2,0,13,115,102,0.887,4.33,0,0.2,180,,,,,,0,0,0,0
1977,villegi01,Gilles Villemure,36,CBH,NHL,6,,0,4,1,28,178,150,0.843,5.41,0,-0.1,310,,,,,,0,0,0,0
1977,wilsodu01,Dunc Wilson,28,PIT,NHL,45,,18,19,7,129,1373,1244,0.906,2.95,5,8.4,2622,,,,86,21.16,0,1,1,21
1977,wolfebe01,Bernie Wolfe,25,WSH,NHL,37,,7,15,9,114,942,828,0.879,3.85,1,3.4,1777,,,,111,-10.98,0,1,1,2
1978,astroha01,Hardy Astrom,26,NYR,NHL,4,,2,2,0,14,124,110,0.887,3.5,0,0.6,240,,,,,,0,0,0,0
1978,bannemu01,Murray Bannerman,20,VAN,NHL,1,,0,0,0,0,7,7,1,0,0,0.1,20,,,,,,0,0,0,0
1978,bedarji01,Jim Bedard,21,WSH,NHL,43,,11,23,7,152,1254,1102,0.879,3.67,1,5.3,2488,,,,109,-12.62,0,2,2,4
1978,belanyv01,Yves Belanger,25,ATF,NHL,17,,7,8,0,55,434,379,0.873,3.53,1,2.2,936,,,,114,-6.76,0,,,
1978,belanyv01,Yves Belanger,25,STL,NHL,3,,0,3,0,15,84,69,0.821,6.23,0,-0.2,145,,,,,,0,,,
1978,bouchda01,Dan Bouchard,27,ATF,NHL,58,,25,12,19,153,1431,1278,0.893,2.75,2,11.6,3337,,,,96,6.05,0,3,3,6
1978,cheevge01,Gerry Cheevers,37,BOS,NHL,21,,10,5,2,48,434,386,0.889,2.66,1,3.9,1084,,,,100,0.24,0,1,1,14
1978,davidjo01,John Davidson,24,NYR,NHL,34,,14,13,4,98,968,870,0.899,3.18,1,5.2,1846,,,,91,9.59,0,0,0,10
1978,desjage01,Gerry Desjardins,33,BUF,NHL,3,,0,1,0,7,32,25,0.781,3.79,0,0.2,111,,,,,,0,0,0,0
1978,drydeke01,Ken Dryden,30,MTL,NHL,52,,37,7,7,105,1338,1233,0.922,2.05,5,13.7,3069,,,,71,43.71,0,2,2,0
1978,edwardo01,Don Edwards,22,BUF,NHL,72,,38,16,17,185,1970,1785,0.906,2.64,5,15.3,4206,,,,84,33.96,0,3,3,12
1978,edwarga01,Gary Edwards,30,CLE,NHL,30,,6,18,5,128,895,767,0.857,4.53,0,1.5,1697,,,,129,-28.52,0,1,1,4
1978,esposto01,Tony Esposito,34,CBH,NHL,64,,28,22,14,168,1964,1796,0.914,2.63,5,14,3833,,,,77,50.29,0,4,4,0
1978,faveldo01,Doug Favell,32,CLR,NHL,47,,13,20,11,159,1426,1267,0.888,3.59,1,6,2659,,,,100,-0.51,0,2,2,2
1978,giacoed01,Ed Giacomin,38,DET,NHL,9,,3,5,1,27,252,225,0.893,3.14,0,1.5,515,,,,,,0,0,0,0
1978,gilbegi01,Gilles Gilbert,28,BOS,NHL,25,,15,6,2,56,489,433,0.885,2.54,2,5,1324,,,,103,-1.65,0,1,1,8
1978,graharo02,Ron Grahame,27,BOS,NHL,40,,26,6,7,107,849,742,0.874,2.76,3,8.1,2328,,,,113,-12.64,0,1,1,0
1978,grantdo01,Doug Grant,29,STL,NHL,9,,3,3,2,24,231,207,0.896,2.89,0,1.6,499,,,,,,0,0,0,0
1978,hanlogl01,Glen Hanlon,20,VAN,NHL,4,,1,2,1,9,94,85,0.904,2.73,0,0.7,198,,,,,,0,0,0,2
1978,harripa01,Paul Harrison,22,MNS,NHL,27,,6,16,2,99,801,702,0.876,3.83,1,3,1550,,,,111,-9.97,0,0,0,10
1978,herrode01,Denis Herron,25,PIT,NHL,60,,20,25,15,210,2125,1915,0.901,3.57,0,8.1,3527,,,,89,26.18,0,1,1,6
1978,hogosgo01,Goran Hogosta,23,NYI,NHL,1,,0,0,0,0,4,4,1,0,0,0.1,9,,,,,,0,0,0,0
1978,johnsed01,Eddie Johnston,42,STL,NHL,12,,5,6,1,45,301,256,0.85,4.16,0,0.9,649,,,,,,0,,,
1978,johnsed01,Eddie Johnston,42,CBH,NHL,4,,1,3,0,17,113,96,0.85,4.25,0,0.3,240,,,,,,0,,,
1978,larocmi01,Michel Larocque,25,MTL,NHL,30,,22,3,4,77,736,659,0.895,2.67,1,6.2,1728,,,,94,4.8,0,4,4,0
1978,laxtogo01,Gord Laxton,22,PIT,NHL,2,,0,1,0,9,48,39,0.813,7.35,0,-0.2,73,,,,,,0,0,0,0
1978,loprepe01,Pete LoPresti,23,MNS,NHL,53,,12,35,6,216,1624,1408,0.867,4.23,2,4.1,3063,,,,120,-35.5,0,2,2,0
1978,lowro01,Ron Low,27,DET,NHL,32,,9,12,9,102,897,795,0.886,3.37,1,4.7,1813,,,,102,-2.3,0,1,1,0
1978,maniace01,Cesare Maniago,39,VAN,NHL,46,,10,24,8,172,1327,1155,0.87,4.03,1,4.2,2563,,,,117,-24.51,0,0,0,18
1978,mckenbi01,Bill McKenzie,28,CLR,NHL,12,,3,6,2,42,347,305,0.879,3.87,0,1.2,651,,,,109,-3.43,0,0,0,2
1978,mcraego01,Gord McRae,29,TOR,NHL,18,,7,10,1,57,485,428,0.882,3.3,1,2.8,1036,,,,106,-3.09,0,0,0,2
1978,melocgi01,Gilles Meloche,27,CLE,NHL,54,,16,27,8,194,1726,1532,0.888,3.76,1,6.2,3095,,,,101,-2.16,0,0,0,4
1978,myreph01,Phil Myre,29,STL,NHL,44,,11,25,8,159,1364,1205,0.883,3.65,1,5.7,2617,,,,105,-7.4,0,,,
1978,myreph01,Phil Myre,29,ATF,NHL,9,,2,7,0,43,267,224,0.839,4.93,0,0.2,523,,,,,,0,,,
1978,olescbi01,Bill Oleschuk,22,CLR,NHL,2,,0,2,0,9,56,47,0.839,5.4,0,0,100,,,,,,0,0,0,0
1978,palmami01,Mike Palmateer,24,TOR,NHL,63,,34,19,9,172,1937,1765,0.911,2.75,5,13,3752,,,,80,43.29,0,1,1,12
1978,parenbe01,Bernie Parent,32,PHI,NHL,49,,29,6,13,108,1223,1115,0.912,2.22,7,12.4,2919,,,,79,27.93,0,0,0,4
1978,pettiji01,Jim Pettie,24,BOS,NHL,1,,0,1,0,6,26,20,0.769,6,0,-0.1,60,,,,,,0,0,0,6
1978,plassmi01,Michel Plasse,29,CLR,NHL,24,,3,12,8,90,698,608,0.871,3.91,0,2.5,1382,,,,116,-12.42,0,0,0,12
1978,redqugr01,Greg Redquest,21,PIT,NHL,1,,0,0,0,3,10,7,0.7,14.08,0,-0.2,13,,,,,,0,0,0,0
1978,reschgl01,Glenn Resch,29,NYI,NHL,45,,28,9,7,112,1212,1100,0.908,2.55,3,9.9,2634,,,,83,22.71,0,1,1,12
1978,ridlecu01,Curt Ridley,26,VAN,NHL,40,,9,17,8,136,1031,895,0.868,4.07,0,3.2,2007,,,,119,-21.41,0,1,1,9
1978,rutheji01,Jim Rutherford,28,DET,NHL,43,,20,17,4,134,1119,985,0.88,3.26,1,6.7,2466,,,,108,-9.63,0,2,2,2
1978,sauvebo01,Bob Sauve,22,BUF,NHL,11,,6,2,0,20,224,204,0.911,2.51,0,1.8,479,,,,,,0,1,1,0
1978,simmoga01,Gary Simmons,33,LAK,NHL,14,,2,7,2,44,336,292,0.869,3.83,0,1.3,689,,,,118,-6.66,0,0,0,8
1978,smithbi01,Billy Smith,27,NYI,NHL,38,,20,8,8,95,1039,944,0.909,2.65,2,7.8,2150,,,,82,20.48,0,0,0,35
1978,smithga01,Gary Smith,33,WSH,NHL,17,,2,12,3,68,510,442,0.867,4.17,0,1.4,979,,,,120,-11.32,0,,,
1978,smithga01,Gary Smith,33,MNS,NHL,3,,0,2,1,9,97,88,0.907,3.03,0,0.5,178,,,,,,0,,,
1978,soetado01,Doug Soetaert,22,NYR,NHL,6,,2,2,2,20,201,181,0.9,3.34,0,0.9,360,,,,,,0,0,0,0
1978,stcrori01,Rick St. Croix,23,PHI,NHL,7,,2,4,1,20,165,145,0.879,3.05,0,1.2,394,,,,,,0,0,0,0
1978,stanied01,Ed Staniowski,22,STL,NHL,17,,1,10,2,57,396,339,0.856,3.87,0,1.6,884,,,,130,-12.99,0,0,0,0
1978,stephwa01,Wayne Stephenson,33,PHI,NHL,26,,14,10,1,68,648,580,0.895,2.76,3,5.1,1480,,,,94,4.02,0,0,0,0
1978,thomawa01,Wayne Thomas,30,NYR,NHL,41,,12,20,7,141,1210,1069,0.883,3.6,4,5.3,2349,,,,105,-6.51,0,1,1,9
1978,vachoro01,Rogie Vachon,32,LAK,NHL,70,,29,27,13,196,1810,1614,0.892,2.87,4,13.5,4098,,,,97,5.17,0,0,0,2
1978,veisomi01,Mike Veisor,25,CBH,NHL,12,,3,4,5,31,387,356,0.92,2.59,2,2.7,719,,,,72,12.01,0,0,0,0
1978,wilsodu01,Dunc Wilson,29,PIT,NHL,21,,5,11,3,95,602,507,0.842,4.84,0,0.5,1179,,,,142,-28.09,0,1,1,0
1978,wolfebe01,Bernie Wolfe,26,WSH,NHL,25,,4,14,4,94,729,635,0.871,4.26,0,1.7,1325,,,,116,-12.97,0,0,0,0
1979,bedarji01,Jim Bedard,22,WSH,NHL,30,,6,17,6,126,918,792,0.863,4.36,0,2.6,1735,,,,117,-18.2,0,0,0,6
1979,belanyv01,Yves Belanger,26,ATF,NHL,5,,1,2,0,21,78,57,0.731,6.96,0,-0.4,181,,,,,,0,0,0,0
1979,bouchda01,Dan Bouchard,28,ATF,NHL,64,,32,21,7,201,1810,1609,0.889,3.33,3,10.5,3618,,,,95,11.55,0,3,3,17
1979,boutiro01,Rollie Boutin,21,WSH,NHL,2,,0,1,0,10,53,43,0.811,6.67,0,-0.1,90,,,,,,0,0,0,0
1979,bromlga01,Gary Bromley,29,VAN,NHL,38,,11,19,6,136,1073,937,0.873,3.81,2,4.8,2141,,,,108,-10,0,1,1,6
1979,cheevge01,Gerry Cheevers,38,BOS,NHL,43,,23,9,10,132,981,849,0.865,3.16,1,7.9,2508,,,,115,-16.8,0,2,2,23
1979,davidjo01,John Davidson,25,NYR,NHL,39,,20,12,5,131,1031,900,0.873,3.53,0,5.9,2227,,,,108,-9.93,0,0,0,12
1979,drydeke01,Ken Dryden,31,MTL,NHL,47,,30,10,7,108,1190,1082,0.909,2.3,5,12.1,2812,,,,77,31.74,0,3,3,4
1979,edwardo01,Don Edwards,23,BUF,NHL,54,,26,18,9,159,1569,1410,0.899,3.02,2,10.5,3158,,,,86,25.25,0,2,2,8
1979,edwarga01,Gary Edwards,31,MNS,NHL,25,,6,11,5,83,625,542,0.867,3.74,0,3.1,1333,,,,113,-9.61,0,1,1,26
1979,esposto01,Tony Esposito,35,CBH,NHL,63,,24,28,11,206,2099,1893,0.902,3.28,4,11.2,3773,,,,84,40.49,0,1,1,2
1979,faveldo01,Doug Favell,33,CLR,NHL,7,,0,5,2,34,185,151,0.816,5.38,0,0.1,380,,,,,,0,1,1,17
1979,gilbegi01,Gilles Gilbert,29,BOS,NHL,23,,12,8,2,74,567,493,0.869,3.54,0,3.3,1253,,,,111,-7.42,0,0,0,16
1979,graharo02,Ron Grahame,28,LAK,NHL,34,,11,19,2,136,985,849,0.862,4.22,0,3.3,1935,,,,118,-20.33,0,1,1,6
1979,grantdo01,Doug Grant,30,STL,NHL,4,,0,2,1,23,122,99,0.811,7.28,0,-0.5,190,,,,,,0,0,0,0
1979,hamelpi01,Pierre Hamel,26,TOR,NHL,1,,0,0,0,0,1,1,1,0,0,0,1,,,,,,0,0,0,0
1979,hanlogl01,Glen Hanlon,21,VAN,NHL,31,,12,13,5,94,921,827,0.898,3.1,3,5.9,1819,,,,87,14.15,0,1,1,28
1979,harripa01,Paul Harrison,23,TOR,NHL,25,,8,12,3,82,676,594,0.879,3.51,1,3.7,1401,,,,103,-2.62,0,0,0,10
1979,herrode01,Denis Herron,26,PIT,NHL,56,,22,19,12,180,1667,1487,0.892,3.37,0,9.1,3203,,,,92,15.76,0,2,2,18
1979,innesga01,Gary Inness,29,WSH,NHL,37,,14,14,8,130,1087,957,0.88,3.71,0,5,2102,,,,102,-2.35,0,2,2,6
1979,irelara01,Randy Ireland,21,BUF,NHL,2,,0,0,0,3,21,18,0.857,6.02,0,0,30,,,,,,0,0,0,0
1979,larocmi01,Michel Larocque,26,MTL,NHL,34,,22,7,4,94,841,747,0.888,2.84,3,7.1,1984,,,,95,4.76,0,3,3,2
1979,laxtogo01,Gord Laxton,23,PIT,NHL,1,,0,1,0,8,27,19,0.704,8,0,-0.2,60,,,,,,0,0,0,0
1979,lemelre01,Reggie Lemelin,24,ATF,NHL,18,,8,8,1,55,465,410,0.882,3.33,0,2.9,991,,,,101,-0.39,0,0,0,4
1979,lessama01,Mario Lessard,24,LAK,NHL,49,,23,15,10,148,1368,1220,0.892,3.11,4,9.2,2857,,,,92,12.65,0,2,2,8
1979,loprepe01,Pete LoPresti,24,MNS,NHL,7,,2,4,0,28,157,129,0.822,4.88,0,0.3,344,,,,,,0,0,0,0
1979,melocgi01,Gilles Meloche,28,MNS,NHL,53,,20,25,7,173,1498,1325,0.885,3.33,2,9,3113,,,,98,2.91,0,1,1,23
1979,millegr01,Greg Millen,21,PIT,NHL,28,,14,11,1,86,771,685,0.888,3.38,2,4.4,1529,,,,95,4.54,0,0,0,0
1979,moorero01,Robbie Moore,24,PHI,NHL,5,,3,0,1,7,96,89,0.927,1.77,2,1.2,237,,,,,,0,1,1,0
1979,myreph01,Phil Myre,30,STL,NHL,39,,9,22,8,163,1201,1038,0.864,4.34,1,3.5,2255,,,,116,-21.96,0,0,0,6
1979,olescbi01,Bill Oleschuk,23,CLR,NHL,40,,6,19,8,136,1082,946,0.874,3.86,1,4.6,2115,,,,107,-8.94,0,0,0,10
1979,palmami01,Mike Palmateer,25,TOR,NHL,58,,26,21,10,167,1838,1671,0.909,2.96,4,11.6,3386,,,,77,48.84,0,5,5,24
1979,parenbe01,Bernie Parent,33,PHI,NHL,36,,16,12,7,89,834,745,0.893,2.71,4,7.4,1971,,,,91,8.94,0,2,2,8
1979,peetepe01,Pete Peeters,21,PHI,NHL,5,,1,2,1,16,109,93,0.853,3.47,0,0.8,277,,,,,,0,0,0,6
1979,pettiji01,Jim Pettie,25,BOS,NHL,19,,8,6,2,62,432,370,0.856,3.59,1,2.7,1037,,,,122,-11.27,0,0,0,17
1979,plassmi01,Michel Plasse,30,CLR,NHL,41,,9,29,2,152,1201,1049,0.873,3.97,0,4.7,2299,,,,108,-10.96,0,2,2,4
1979,reschgl01,Glenn Resch,30,NYI,NHL,43,,26,7,10,106,1235,1129,0.914,2.5,2,10.2,2540,,,,73,39.03,0,2,2,6
1979,richate01,Terry Richardson,25,STL,NHL,1,,0,1,0,9,36,27,0.75,9,0,-0.3,60,,,,,,0,0,0,0
1979,rutheji01,Jim Rutherford,29,DET,NHL,32,,13,14,5,103,885,782,0.884,3.27,1,5.6,1890,,,,99,0.93,0,2,2,4
1979,sauvebo01,Bob Sauve,23,BUF,NHL,29,,10,10,7,100,805,705,0.876,3.73,0,3.8,1609,,,,106,-5.47,0,0,0,2
1979,smithbi01,Billy Smith,28,NYI,NHL,39,,25,8,4,108,1074,966,0.899,2.87,1,8,2256,,,,86,18.12,0,2,2,54
1979,soetado01,Doug Soetaert,23,NYR,NHL,17,,5,7,3,57,434,377,0.869,3.81,0,2,898,,,,112,-6.03,0,0,0,4
1979,stcrori01,Rick St. Croix,24,PHI,NHL,2,,0,1,1,6,53,47,0.887,3.08,0,0.4,117,,,,,,0,0,0,0
1979,stanied01,Ed Staniowski,23,STL,NHL,39,,9,25,3,146,1164,1018,0.875,3.83,0,5.1,2286,,,,107,-9.31,0,1,1,2
1979,stephwa01,Wayne Stephenson,34,PHI,NHL,40,,20,10,5,122,946,824,0.871,3.36,2,6.3,2182,,,,110,-10.91,0,1,1,2
1979,thomawa01,Wayne Thomas,31,NYR,NHL,31,,15,10,3,101,752,651,0.866,3.64,1,4.1,1666,,,,114,-12.69,0,0,0,0
1979,vachoro01,Rogie Vachon,33,DET,NHL,50,,10,27,11,189,1378,1189,0.863,3.91,0,6.1,2899,,,,117,-27.18,0,1,1,21
1979,veisomi01,Mike Veisor,26,CBH,NHL,17,,5,8,4,60,625,565,0.904,3.54,0,2.7,1016,,,,82,13.39,0,1,1,0
1979,wilsodu01,Dunc Wilson,30,VAN,NHL,17,,2,10,2,58,468,410,0.876,4.17,0,1.5,834,,,,106,-3.04,0,1,1,0
1979,wolfebe01,Bernie Wolfe,27,WSH,NHL,17,,4,9,1,68,470,402,0.855,4.75,0,0.8,859,,,,123,-12.81,0,0,0,15
1980,astroha01,Hardy Astrom,28,CLR,NHL,49,,9,27,6,161,1242,1081,0.87,3.77,0,5.9,2566,,,,110,-15.06,0,0,0,6
1980,bakerst01,Steve Baker,22,NYR,NHL,27,,9,8,6,79,667,588,0.882,3.41,1,3.9,1389,,,,101,-0.63,0,0,0,2
1980,baronma01,Marco Baron,20,BOS,NHL,1,,0,0,0,2,13,11,0.846,3,0,0.1,40,,,,,,0,0,0,0
1980,belanyv01,Yves Belanger,27,BOS,NHL,8,,2,0,3,19,132,113,0.856,3.48,0,0.9,328,,,,,,0,0,0,0
1980,bouchda01,Dan Bouchard,29,ATF,NHL,53,,23,19,10,163,1598,1435,0.898,3.19,2,9.5,3065,,,,87,24.77,0,1,1,34
1980,boutiro01,Rollie Boutin,22,WSH,NHL,18,,7,7,1,54,454,400,0.881,3.5,0,2.5,926,,,,101,-0.65,0,1,1,6
1980,broderi01,Richard Brodeur,27,NYI,NHL,2,,1,0,0,6,35,29,0.829,4.5,0,0.1,80,,,,,,0,0,0,0
1980,bromlga01,Gary Bromley,30,VAN,NHL,15,,8,2,4,43,399,356,0.892,3.01,1,2.9,858,,,,92,3.88,0,0,0,2
1980,cheevge01,Gerry Cheevers,39,BOS,NHL,42,,24,11,7,116,968,852,0.88,2.81,4,8.9,2474,,,,102,-2.26,0,0,0,62
1980,corsiji01,Jim Corsi,25,EDM,NHL,26,,8,14,3,83,659,576,0.874,3.66,0,3.3,1360,,,,107,-5.57,0,3,3,6
1980,craigji01,Jim Craig,22,ATF,NHL,4,,1,2,1,13,82,69,0.841,3.79,0,0.5,206,,,,,,0,0,0,0
1980,crhaji01,Jiri Crha,29,TOR,NHL,15,,8,7,0,50,546,496,0.908,3.62,0,2.1,830,,,,78,14.16,0,0,0,4
1980,cuttsdo01,Don Cutts,26,EDM,NHL,6,,1,2,1,16,142,126,0.887,3.57,0,0.7,269,,,,,,0,0,0,6
1980,davidjo01,John Davidson,26,NYR,NHL,41,,20,15,4,122,1061,939,0.885,3.18,2,7.1,2299,,,,98,2.67,0,2,2,2
