SEASON,PLAYER_ID,PLAYER_NAME,AGE,TM,LG,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1925,fowlehe01,Hec Fowler,32,BOS,NHL,7,,1,6,0,42,,,,6.16,0,-1.8,409,,,,,,0,0,0,0
1925,lockhho01,Howard Lockhart,29,BOS,NHL,2,,0,2,0,11,,,,5.5,0,-0.4,120,,,,,,0,0,0,0
1925,munrodu01,Dunc Munro,24,MTM,NHL,1,,0,0,0,0,,,,0,0,0,2,,,,,,5,1,6,16
1925,reddige01,George Redding,21,BOS,NHL,1,,0,0,0,1,,,,5.45,0,0,11,,,,,,3,2,5,10
1925,roachjo01,John Ross Roach,24,TRS,NHL,30,,19,11,0,84,,,,2.8,1,3.7,1800,,,,,,0,0,0,0
1925,sprinje01,Jesse Spring,24,HAM,NHL,1,,0,0,0,0,,,,0,0,0,2,,,,,,2,1,3,11
1925,stewach01,Charles Stewart,29,BOS,NHL,21,,5,16,0,65,,,,3.08,2,1.9,1266,,,,,,0,0,0,0
1925,vezinge01,Georges Vezina,38,MTL,NHL,30,,17,11,2,56,,,,1.81,5,7.4,1860,,,,,,0,0,0,0
1926,benedcl01,Clint Benedict,33,MTM,NHL,36,,20,11,5,73,,,,1.92,6,7.6,2286,,,,,,0,0,0,0
1926,cleghod01,Odie Cleghorn,34,PTP,NHL,1,,1,0,0,2,,,,2,0,0.2,60,,,,,,2,1,3,4
1926,conneal01,Alec Connell,23,OTS,NHL,36,,24,8,4,42,,,,1.12,15,11.1,2251,,,,,,0,0,0,0
1926,forbeja01,Jake Forbes,28,NYA,NHL,36,,12,20,4,86,,,,2.3,2,5.6,2240,,,,,,0,0,0,0
1926,ironsjo01,Joe Ironstone,27,NYA,NHL,1,,0,0,0,3,,,,4.5,0,-0.1,40,,,,,,0,0,0,0
1926,lacrofr01,Frenchy Lacroix,28,MTL,NHL,5,,1,4,0,16,,,,3.43,0,0.1,280,,,,,,0,0,0,0
1926,rheauhe01,Herb Rheaume,26,MTL,NHL,31,,10,20,1,92,,,,2.93,0,2.3,1887,,,,,,0,0,0,0
1926,roachjo01,John Ross Roach,25,TRS,NHL,36,,12,21,3,114,,,,3.07,2,2.1,2230,,,,,,0,0,0,0
1926,robermo01,Moe Roberts,20,BOS,NHL,2,,1,1,0,5,,,,3.53,0,0,85,,,,,,0,0,0,0
1926,stewach01,Charles Stewart,30,BOS,NHL,35,,16,14,4,80,,,,2.21,6,5.9,2172,,,,,,0,0,0,0
1926,vezinge01,Georges Vezina,39,MTL,NHL,1,,0,0,0,0,,,,0,0,0.1,20,,,,,,0,0,0,0
1926,wortero01,Roy Worters,25,PTP,NHL,35,,18,16,1,68,,,,1.9,7,7.2,2145,,,,,,0,0,0,0
1927,benedcl01,Clint Benedict,34,MTM,NHL,43,,20,19,4,65,,,,1.42,13,10.5,2747,,,,,,0,0,0,0
1927,chabolo01,Lorne Chabot,26,NYR,NHL,37,,22,9,5,59,,,,1.51,10,8.5,2347,,,,,,0,0,0,0
1927,conneal01,Alec Connell,24,OTS,NHL,44,,30,10,4,69,,,,1.49,13,10.2,2787,,,,,,0,0,0,2
1927,forbeja01,Jake Forbes,29,NYA,NHL,44,,17,25,2,91,,,,2.01,8,6.5,2715,,,,,,0,0,0,0
1927,hainsge01,George Hainsworth,31,MTL,NHL,44,,28,14,2,67,,,,1.47,14,10.1,2739,,,,,,0,0,0,0
1927,holmeha01,Hap Holmes,38,DTC,NHL,41,,11,26,4,100,,,,2.32,6,4.3,2584,,,,,,0,0,0,0
1927,lehmahu01,Hugh Lehman,41,CBH,NHL,44,,19,22,3,116,,,,2.49,5,3.5,2795,,,,,,0,0,0,0
1927,roachjo01,John Ross Roach,26,TOR,NHL,44,,15,24,5,94,,,,2.04,4,6.5,2764,,,,,,0,0,0,0
1927,stewach01,Charles Stewart,31,BOS,NHL,21,,9,11,1,49,,,,2.25,2,2.4,1304,,,,,,0,0,0,0
1927,stuarhe01,Herb Stuart,27,DTC,NHL,3,,1,2,0,5,,,,1.67,0,0.6,180,,,,,,0,0,0,0
1927,walshfl01,Flat Walsh,29,MTM,NHL,1,,0,1,0,3,,,,3,0,0,60,,,,,,0,0,0,0
1927,winklha01,Hal Winkler,34,BOS,NHL,23,,12,9,2,40,,,,1.66,4,4.7,1445,,,,,,0,,,
1927,winklha01,Hal Winkler,34,NYR,NHL,8,,3,4,1,13,,,,1.65,2,1.5,473,,,,,,0,,,
1927,wortero01,Roy Worters,26,PTP,NHL,44,,15,26,3,108,,,,2.39,4,4.1,2713,,,,,,0,0,0,0
1928,benedcl01,Clint Benedict,35,MTM,NHL,44,,24,14,6,76,,,,1.7,6,8.1,2690,,,,,,0,0,0,0
1928,chabolo01,Lorne Chabot,27,NYR,NHL,44,,19,16,9,79,,,,1.74,11,8,2730,,,,,,0,0,0,0
1928,conneal01,Alec Connell,25,OTS,NHL,44,,20,14,10,57,,,,1.24,15,11.5,2760,,,,,,0,0,0,0
1928,forbeja01,Jake Forbes,30,NYA,NHL,16,,3,11,2,51,,,,3.12,2,-0.5,980,,,,,,0,0,0,0
1928,gardich01,Charlie Gardiner,23,CBH,NHL,40,,6,32,2,114,,,,2.83,3,0.5,2420,,,,,,0,0,0,0
1928,hainsge01,George Hainsworth,32,MTL,NHL,44,,26,11,7,48,,,,1.05,13,12.6,2730,,,,,,0,0,0,0
1928,himesno01,Normie Himes,24,NYA,NHL,1,,0,0,0,0,,,,0,0,0.1,19,,,,,,14,5,19,24
1928,holmeha01,Hap Holmes,39,DTC,NHL,44,,19,19,6,79,,,,1.73,11,8.1,2740,,,,,,0,0,0,0
1928,ironsjo01,Joe Ironstone,29,TOR,NHL,1,,0,0,1,0,,,,0,1,0.5,70,,,,,,0,0,0,0
1928,lehmahu01,Hugh Lehman,42,CBH,NHL,4,,1,2,1,20,,,,4.8,1,-1.2,250,,,,,,0,0,0,0
1928,millejo01,Joe Miller,27,NYA,NHL,28,,8,16,4,77,,,,2.68,5,0.9,1721,,,,,,0,0,0,0
1928,roachjo01,John Ross Roach,27,TOR,NHL,43,,18,18,7,88,,,,1.96,4,6.3,2690,,,,,,0,0,0,0
1928,walshfl01,Flat Walsh,30,MTM,NHL,1,,0,0,0,1,,,,1.5,0,0.1,40,,,,,,0,0,0,0
1928,winklha01,Hal Winkler,35,BOS,NHL,44,,20,13,11,70,,,,1.51,15,9.7,2780,,,,,,0,0,0,0
1928,wortero01,Roy Worters,27,PTP,NHL,44,,19,17,8,76,,,,1.66,11,8.5,2740,,,,,,0,0,0,0
1929,benedcl01,Clint Benedict,36,MTM,NHL,37,,14,16,7,57,,,,1.49,11,5.4,2300,,,,,,0,0,0,0
1929,chabolo01,Lorne Chabot,28,TOR,NHL,43,,20,16,5,64,,,,1.52,10,5.7,2534,,,,,,0,0,0,2
1929,conneal01,Alec Connell,26,OTS,NHL,44,,14,17,13,67,,,,1.43,7,7.2,2820,,,,,,0,0,0,0
1929,dolsodo01,Dolly Dolson,31,DTC,NHL,44,,19,16,9,63,,,,1.37,10,7.5,2750,,,,,,0,0,0,0
1929,forbeja01,Jake Forbes,31,NYA,NHL,1,,1,0,0,3,,,,3,0,-0.2,60,,,,,,0,0,0,0
