,Year,Name,Age,Team,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Pos,Salary
1374,2015,Curtis McElhinney,31,CBJ,32,28.0,12.0,14.0,2.0,82,949.0,867.0,0.914,2.88,0,5.6,1710,12.0,0.429,2.0,101.0,-1.0,0,0.0,0.0,0.0,G,800000.0
1375,2015,Mike McKenna,31,ARI,1,1.0,0.0,1.0,0.0,5,34.0,29.0,0.853,5.0,0,0.0,60,0.0,0.0,0.0,,,0,0.0,0.0,0.0,G,175000.0
1376,2015,Ryan Miller,34,VAN,45,45.0,29.0,15.0,1.0,107,1198.0,1091.0,0.911,2.53,6,6.6,2542,22.0,0.489,8.0,105.0,-4.75,0,0.0,0.0,0.0,G,6000000.0
1377,2015,Al Montoya,29,FLA,20,13.0,6.0,7.0,2.0,49,453.0,404.0,0.892,3.01,0,1.5,977,6.0,0.462,3.0,127.0,-10.33,0,0.0,0.0,2.0,G,1100000.0
1378,2015,Petr Mrazek,22,DET,29,26.0,16.0,9.0,2.0,63,768.0,705.0,0.918,2.38,3,4.9,1585,15.0,0.577,6.0,96.0,2.55,0,0.0,0.0,0.0,G,737500.0
1379,2015,Evgeni Nabokov,39,TBL,11,9.0,3.0,6.0,2.0,29,245.0,216.0,0.882,3.14,0,0.5,553,5.0,0.556,2.0,,,0,1.0,1.0,2.0,G,
1380,2015,Michal Neuvirth,26,BUF,27,27.0,6.0,17.0,3.0,77,941.0,864.0,0.918,2.99,0,6.1,1544,15.0,0.556,3.0,96.0,3.32,0,0.0,0.0,0.0,G,1500000.0
1381,2015,Michal Neuvirth,26,NYI,5,5.0,1.0,3.0,1.0,15,126.0,111.0,0.881,2.94,0,0.2,306,1.0,0.2,1.0,,,0,0.0,0.0,0.0,G,1500000.0
1382,2015,Antti Niemi,31,SJS,61,61.0,31.0,23.0,7.0,155,1811.0,1656.0,0.914,2.59,5,10.8,3588,32.0,0.525,9.0,100.0,-0.43,0,3.0,3.0,0.0,G,4500000.0
1383,2015,Joni Ortio,23,CGY,6,6.0,4.0,2.0,0.0,14,153.0,139.0,0.908,2.52,1,0.8,333,3.0,0.5,2.0,,,0,0.0,0.0,0.0,G,600000.0
1384,2015,Ondrej Pavelec,27,WPG,50,46.0,22.0,16.0,8.0,108,1353.0,1245.0,0.92,2.28,5,9.0,2838,23.0,0.5,5.0,94.0,7.48,0,0.0,0.0,2.0,G,4250000.0
1385,2015,Justin Peters,28,WSH,12,9.0,3.0,6.0,1.0,35,294.0,259.0,0.881,3.25,0,0.6,647,1.0,0.111,3.0,,,0,0.0,0.0,0.0,G,
1386,2015,Calvin Pickard,22,COL,16,13.0,6.0,7.0,3.0,35,511.0,476.0,0.932,2.35,0,4.1,895,9.0,0.692,1.0,80.0,8.62,0,0.0,0.0,0.0,G,
1387,2015,Kevin Poulin,24,NYI,1,1.0,0.0,0.0,1.0,3,26.0,23.0,0.885,2.77,0,0.1,65,0.0,0.0,0.0,,,0,0.0,0.0,0.0,G,
1388,2015,Carey Price,27,MTL,66,66.0,44.0,16.0,6.0,130,1953.0,1823.0,0.933,1.96,9,16.2,3977,39.0,0.591,6.0,78.0,36.7,0,1.0,1.0,4.0,G,7000000.0
1389,2015,Jonathan Quick,29,LAK,72,71.0,36.0,22.0,13.0,156,1896.0,1740.0,0.918,2.24,6,12.1,4184,36.0,0.507,9.0,96.0,5.83,0,1.0,1.0,18.0,G,7000000.0
1390,2015,Antti Raanta,25,CHI,14,12.0,7.0,4.0,1.0,25,389.0,364.0,0.936,1.89,2,3.3,792,8.0,0.667,1.0,75.0,8.2,0,0.0,0.0,0.0,G,800000.0
